titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"HP Z2 SFF G9 Workstation
5F166EA",Unknown,HP Z2,Intel Core i7-13700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,1181.71,1650.0,1415.86,30.8,38.4,30.0,16.0,4800.0,512.0,5.2,10.0,2.1,219.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Lenovo ThinkStation P3 Tower
30GS003USP",PC de oficina,Lenovo ThinkStation,Intel Core i9-13900K,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,24.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1709.0,1929.0,1819.0,37.0,18.0,36.0,32.0,3200.0,1000.0,5.8,41.0,3.0,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 7010 Micro
7K8H1",PC de oficina,Dell OptiPlex,Intel Core i5-13500T,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,679.0,959.95,819.48,29.4,16.8,18.0,8.0,3200.0,256.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acer Veriton S2 VS2710G
DT.VY4EB.004",Unknown,Acer Veriton,Intel Core i7-13700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,865.49,1000.34,932.91,30.6,16.0,30.0,16.0,3200.0,512.0,5.2,34.0,2.1,219.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"iggual SFF PSIPCH
PSIPCH603",Workstation,iggual SFF PSIPCH,Intel Core i5-10400,disco duro mSATA SSD,Intel,Core i5,1.0,FreeDOS,Comet Lake,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),"empresas, principiante",Socket 1200,355.71,434.61,395.16,41.0,23.0,12.0,8.0,2400.0,480.0,4.3,48.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Zotac ZBOX pico PI430AJ with AirJet
Windows",Mini PC,Zotac ZBOX,Intel Core i3-N300,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,8.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,510.45,740.15,625.3,7.6,11.5,18.0,8.0,3200.0,512.0,3.8,2.0,0.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Nitropc Set Diamond,PC gaming,Nitropc Set Diamond,Intel Core i7-12700K,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,12.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1497.18,1549.99,1523.59,29.4,16.8,25.0,32.0,3200.0,2000.0,5.0,29.0,3.6,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Deep Gaming Venom,PC gaming,Deep Gaming Venom,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,NVIDIA GeForce GTX 1650,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1200,902.0,1405.99,1153.99,39.0,43.0,18.0,16.0,2666.0,1000.0,4.7,18.0,2.8,65.0,4096.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 12
NUC12WSHi5",Mini PC,Intel NUC,Intel Core i5-1240P,disco duro M.2 SSD,Intel,Core i5,0.0,ninguno,Alder Lake,DDR4,8.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,barebone,gaming,Socket 1700,527.8,1267.33,897.56,35.7,12.0,18.0,16.0,3200.0,1000.0,4.7,18.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Geekom A8
R7-8845HS + 32GB + 1TB",Mini PC,Geekom,AMD Ryzen 7 8845HS,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 780M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FP7,699.0,2234.2,1466.6,29.4,16.8,16.0,32.0,5600.0,1000.0,5.1,29.0,3.8,45.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Medion Akoya T80
10025203",PC multimedia,Medion Akoya,Intel Core i7-12650H,disco duro M.2 SSD,Intel,Core i7,1.0,ninguno,Raptor Lake,DDR4,8.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,579.0,743.94,661.47,30.2,9.7,18.0,16.0,3200.0,512.0,4.7,27.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Aures Gaming Basilisk A76X
RTS47 (BAS00003147)",PC gaming,Aures Gaming Basilisk,AMD Ryzen 5 7600X,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,6.0,NVIDIA GeForce RTX 4070 Super,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1490.9,1583.89,1537.39,29.4,16.8,32.0,16.0,3200.0,1000.0,5.3,29.0,4.7,105.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Shuttle XPC slim DL20NV2,Unknown,Shuttle XPC,Intel Celeron N4505,disco duro SSD,Intel,Intel Celeron,0.0,ninguno,Jasper Lake,DDR4,2.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,219.08,271.17,245.12,29.4,16.8,4.0,16.0,3200.0,1000.0,2.9,29.0,2.0,10.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Leotec Gemini Mini PC Intel Celeron N4000 (LEMPC12),Unknown,Leotec Gemini Mini,Intel Celeron N4000,disco duro SSD,Intel,Intel Celeron,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 600,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,166.31,280.83,223.57,29.4,16.8,18.0,8.0,3200.0,128.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"GigaByte Aorus Model X
GB-AMXR9N8A-20A1",PC gaming,GigaByte Aorus Model,AMD Ryzen 9 5900X,disco duro SSD,AMD,Ryzen 9,1.0,FreeDOS,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 3080,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,2692.01,2875.99,2784.0,52.5,22.3,18.0,32.0,3200.0,3000.0,4.7,50.0,2.8,65.0,10240.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 12M
12M-005EU",Mini PC,MSI Cubi,Intel Core i3-1215U,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,Intel UHD Graphics,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"principiante, empresas",Socket FCBGA 1744,533.21,914.54,723.88,12.4,12.4,10.0,8.0,3200.0,256.0,4.4,5.0,3.3,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Zone Evil ZE-160925
ZE-160925-E",PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4080,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1688.47,1846.75,1767.61,27.3,48.1,18.0,16.0,3200.0,500.0,4.4,49.0,2.5,65.0,16.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Victus 15L
TG02-0157ns",PC gaming,Victus by HP,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1700,1033.96,1229.43,1131.7,29.7,15.5,18.0,16.0,3200.0,512.0,4.4,33.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M75q Gen 2 Tiny
11JN0082GE",PC de oficina,Lenovo ThinkCentre,AMD Ryzen 5 5600GE,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,654.58,917.75,786.16,18.3,17.9,18.0,16.0,3200.0,512.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OPTIPLEX 3080
SFF 06HG8",PC de oficina,Dell OptiPlex,Intel Core i5-10505,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 10 Professional,Comet Lake,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,822.26,984.0,903.13,29.0,9.3,12.0,8.0,3200.0,256.0,4.6,29.0,3.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Acer Veriton S2 VS2690G,PC de oficina,Acer Veriton,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,378.01,786.32,582.16,30.6,16.0,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
iggual SFF PSIPCH,Workstation,iggual SFF PSIPCH,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),"empresas, principiante",Socket 1700,300.57,491.38,395.98,41.0,23.0,18.0,16.0,3200.0,1000.0,4.7,48.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Nitropc Extremo Gold V2 MKP-EX-GO,PC gaming,Nitropc Extremo Gold,AMD Ryzen 5 7600X,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1447.59,1499.99,1473.79,36.5,22.5,18.0,32.0,5200.0,1000.0,5.3,47.0,4.7,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,1,0
"Intel NUC 11
BNUC11ATKC20002",Mini PC,Intel NUC,Intel Celeron N4505,disco duro SSD,Intel,Celeron,1.0,ninguno,Jasper Lake,DDR4,2.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket FCBGA1338,138.6,138.6,138.6,11.2,11.7,4.0,16.0,3200.0,1000.0,2.9,3.0,2.8,10.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Medion Mini PC T80 MD34590,PC multimedia,Medion Mini PC,Intel Core i7-12650H,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,empresas,Socket 1700,599.0,783.17,691.09,29.4,16.8,24.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Shuttle XPC slim DL30N,Unknown,Shuttle XPC,Intel N100,disco duro SSD,Intel,Intel N,1.0,ninguno,Raptor Lake,DDR5,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,bricolaje,Socket 1700,243.02,293.04,268.03,16.5,19.0,6.0,16.0,3200.0,1000.0,3.4,4.0,0.8,6.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS Chromebox 4-G5007UN
90MS0252-M00970",Mini PC,ASUS Chromebox,Intel Core i5-10210U,disco duro SSD,Intel,Core i5,1.0,Google Chrome OS,Comet Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket BGA1528,721.9,811.99,766.94,29.4,16.8,6.0,8.0,2666.0,128.0,4.2,29.0,1.6,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
GigaByte BRIX GB-BMPD-6005,Unknown,GigaByte BRIX,Intel Pentium Silver N6005,disco duro SSD,Intel,Pentium,1.0,Microsoft Windows 11 Professional,Jasper Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,barebone,gaming,Socket FCBGA1338,269.07,341.96,305.51,10.3,5.6,4.0,16.0,2933.0,1000.0,3.3,11.0,2.0,10.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"MSI Cubi 12M
12M-001EU",Mini PC,MSI Cubi,Intel Core i7-1255U,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,10.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"principiante, empresas",Socket FCBGA 1744,690.08,990.32,840.2,12.4,12.4,12.0,16.0,3200.0,512.0,4.7,5.0,3.5,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Zone Evil ZE-160954
ZE-160954-D",PC gaming,Zone Evil,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,712.46,774.95,743.71,27.3,48.1,20.0,32.0,3200.0,500.0,4.6,49.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP ProDesk 400 G7 MT
6A765EA",PC multimedia,HP ProDesk,Intel Core i5-10500,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Palomino,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,microtorre,gaming,Socket 1200,1348.14,1438.46,1393.3,30.3,15.5,12.0,8.0,2666.0,512.0,4.5,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M75q Gen 2 Tiny
11JN0083GE",PC multimedia,Lenovo ThinkCentre,AMD Ryzen 7 5700GE,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,761.72,910.66,836.19,18.3,17.9,18.0,16.0,3200.0,512.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 7010 SFF Plus
Plus R93M8",PC de oficina,Dell OptiPlex,Intel Core i5-13500,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,876.9,1091.44,984.17,29.28,9.26,18.0,8.0,3200.0,256.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acer Veriton Essential N2590G,Mini PC,Acer Veriton,Unknown,disco duro M.2 SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,empresas,Socket 1700,370.07,725.88,547.98,17.8,17.8,18.0,16.0,3200.0,256.0,4.7,3.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Nitropc Élite Silver AMZ-EL-BR,PC gaming,Nitropc Élite Silver,AMD Ryzen 7 7800X3D,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,2629.99,2699.99,2664.99,29.4,16.8,18.0,32.0,6000.0,2000.0,5.0,29.0,4.2,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,1,0
"Intel NUC 11
NUC11TNHi70L",Mini PC,Intel NUC,Intel Core i7-1165G7,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Tiger Lake,DDR4,4.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket FCBGA1449,689.03,689.03,689.03,11.2,11.7,12.0,16.0,3200.0,1000.0,4.7,3.0,2.8,28.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Shuttle XPC slim DS50U,Unknown,Shuttle XPC,Unknown,disco duro SSD,Intel,Unknown,0.0,ninguno,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,369.11,888.39,628.75,20.0,3.95,18.0,16.0,3200.0,1000.0,4.7,16.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS PN51
PN51-BB555MDS1",Mini PC,ASUS,AMD Ryzen 5 5500U,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),bricolaje,Socket 1700,481.61,586.44,534.03,11.5,11.5,8.0,16.0,3200.0,1000.0,4.0,4.0,2.1,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
GigaByte BRIX GB-BMCE-4500C,Unknown,GigaByte BRIX,Intel Celeron N4500,disco duro SSD,Intel,Celeron,1.0,Microsoft Windows 10,Jasper Lake,DDR4,2.0,Intel UHD Graphics 605,Ethernet 10/100/1000,Desktop,barebone,gaming,Socket FCBGA1338,153.07,176.9,164.99,11.62,10.3,4.0,16.0,2933.0,1000.0,2.8,56.0,1.1,6.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Pro DP21 13M
13M-491EU",PC de oficina,MSI Pro,Intel Core i3-13100,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),gaming,Socket 1700,527.97,970.83,749.4,5.5,20.4,12.0,8.0,1600.0,256.0,4.7,20.0,3.4,60.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Zone Evil ZE-160925
ZE-160925-H",PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,840.74,914.13,877.43,27.3,48.1,18.0,32.0,3200.0,1000.0,4.4,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Workstation Z2 G9 Tower
5F120EA",Workstation,HP Z2,Intel Core i9-13900K,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,24.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1887.58,2470.99,2179.28,38.5,16.9,36.0,32.0,3200.0,1000.0,5.8,35.0,3.0,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo V55t Gen 2
G2 11RR001USP",PC de oficina,Lenovo ThinkCentre,AMD Ryzen 5 5600G,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,6.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,853.53,1162.74,1008.13,27.5,14.5,16.0,8.0,3200.0,256.0,4.4,36.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Dell OptiPlex 5000 SFF,PC de oficina,Dell OptiPlex,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 10 Professional,Alder Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,845.88,1102.21,974.05,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acer Veriton X4 VX4715GT
DT.R1AEB.004",Mini PC,Acer Veriton,Intel Core i7-13700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,863.36,1013.49,938.42,33.5,10.5,24.0,16.0,3200.0,512.0,5.2,33.0,2.1,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Nitropc Extreme Silver Plus v2
Silver (MKP-PA-SI-P)",PC gaming,Nitropc Extreme Silver,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,959.98,999.99,979.99,29.4,16.8,18.0,16.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 12
NUC12WSKi7",Mini PC,Intel NUC,Intel Core i7-1260P,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,8.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,barebone,gaming,Socket 1700,779.0,1141.98,960.49,35.7,12.0,18.0,16.0,3200.0,500.0,4.7,18.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI PRO DP10 13
13M-054EU",Mini PC,MSI Pro,Intel Core i3-1315U,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,6.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,431.75,659.0,545.38,17.9,3.5,10.0,8.0,1600.0,256.0,4.7,17.0,1.2,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Zone Evil Office Plus Slim 22AH510I
22AH510I583",Unknown,Zone Evil Office,Intel Core i5-12400,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,empresas,Socket 1700,473.33,515.53,494.43,37.0,17.0,18.0,16.0,3200.0,500.0,4.4,35.0,2.5,117.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"HP Slim S01
S01-pF2033ns",PC multimedia,HP Slim,Intel Core i5-12400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,principiante,Socket 1700,577.9,734.99,656.44,27.0,9.5,18.0,8.0,3200.0,512.0,4.4,30.0,2.5,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Lenovo Legion T7 34,PC gaming,Lenovo Legion,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2659.89,7193.93,4926.91,45.0,21.1,18.0,16.0,3200.0,1000.0,4.7,48.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 7020 MFF
Plus 542TT",PC de oficina,Dell OptiPlex,Intel Core i7-14700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,20.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,1210.11,1244.34,1227.22,17.8,3.6,33.0,16.0,5600.0,512.0,5.4,18.0,2.1,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Acer Predator Orion 7000,PC gaming,Acer Predator,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1707.75,8153.91,4930.83,50.48,21.9,18.0,16.0,3200.0,1000.0,4.7,48.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Nitropc Pack Platinum,PC gaming,Nitropc Pack Platinum,AMD Ryzen 7 7800X3D,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon RX 7800 XT,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,2399.98,2499.99,2449.98,43.0,31.0,18.0,32.0,5200.0,2000.0,5.0,47.0,4.2,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,1,0
"Intel NUC 13
NUC13ANKI7",Mini PC,Intel NUC,Intel Core i7-1360P,disco duro SSD,Intel,Core i7,0.0,ninguno,Raptor Lake,DDR4,8.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,barebone,"bricolaje, profesional",Socket 1700,729.0,981.4,855.2,33.7,12.9,18.0,16.0,3200.0,1000.0,4.7,31.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS Vivo PN53
PN53-BBR777HD",Mini PC,ASUS Vivo,AMD Ryzen 7 7735H,disco duro SSD,AMD,Ryzen 7,0.0,ninguno,Raptor Lake,DDR5,8.0,AMD Radeon Graphics,LAN 10/100/1000/2500,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,776.63,1019.72,898.17,13.0,12.0,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 5
12M-001BEU",Mini PC,MSI Cubi,Intel Core i7-1255U,disco duro SSD,Intel,Core i7,1.0,configurable,Raptor Lake,DDR4,10.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,562.67,679.43,621.05,12.4,12.4,12.0,16.0,3200.0,1000.0,4.7,5.0,1.7,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
