titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"Apple Mac mini M4 [2024]
MU9E3YP/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,891.99,920.99,906.49,12.7,12.7,18.0,16.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Medion Erazer Recon P10
MD35095",PC gaming,Medion Erazer,Intel Core i5-14400F,disco duro SSD,Intel,Intel Core 5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,799.0,1444.85,1121.92,38.5,17.0,20.0,16.0,3200.0,1000.0,4.7,38.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Business Work V2 PC (4260561746731),PC de oficina,Ankermann Business Work,AMD Ryzen 5 5600G,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Home,Cezanne,DDR4,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket AM4,439.0,459.0,449.0,40.5,17.5,16.0,16.0,2666.0,500.0,4.4,37.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Beelink SER6 Pro (7735HS 32 + 500G),Mini PC,Beelink,AMD Ryzen 7 7735HS,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 680M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,717.66,717.66,717.66,11.3,12.6,16.0,32.0,4800.0,500.0,4.75,4.0,3.2,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Nitropc Set Bronze,PC gaming,Nitropc Set Bronze,AMD Ryzen 5 Pro 4650G,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Home,Renoir,DDR4,6.0,AMD Radeon RX Vega 7,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,599.99,644.62,622.31,29.4,16.8,8.0,16.0,3200.0,1000.0,4.2,29.0,3.7,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Medion Erazer Recon P10,PC gaming,Medion Erazer,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,799.0,1444.85,1121.92,38.5,17.0,18.0,16.0,3200.0,1000.0,4.7,38.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo LOQ 17IRB8
90VH00DTES",PC gaming,Lenovo LOQ,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,861.32,1532.98,1197.15,30.4,17.0,20.0,16.0,3200.0,512.0,4.6,37.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASUS ROG Strix G13CHR,PC gaming,ASUS ROG,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1349.0,1820.75,1584.88,43.0,18.0,18.0,16.0,3200.0,1000.0,4.7,42.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Z1 G9 Tower,Workstation,HP,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming, principiante, profesional",Socket 1700,1126.47,11013.82,6070.14,30.8,15.5,18.0,16.0,3200.0,1000.0,4.7,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acemagician AM08 Pro
6900HX 32GB + 1TB",Mini PC,Acemagician,AMD Ryzen 9 6900HX,disco duro M.2 SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 680M,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,499.99,499.99,499.99,29.4,16.8,16.0,32.0,3200.0,1000.0,4.9,29.0,3.3,45.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
