titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
ASUS Zenbook 14 Duo OLED UX8406,73.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,,400.0,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,,75.0,65 W,,,con tapa,"21,8 cm",20 mm,"31,4 cm","1,65 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,,,Harman Kardon,16:10,,,,,,,,,4.0,,,16.0,,,,,64.0,"0,2 ms",,Intel Arc Graphics,,,19 V,"3,42 A",,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1849.2,3983.06,2916.13,,1920x1080,,,65.0,21.8,20.0,31.4,1.65,,,,,,,,,,,,,19.0,3.42,,,,Laptop
HP ZBook Studio G10,37.0,Portátil multimedia,HP ZBook,16.0,40.64,,500.0,,,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,4.0,,,86.0,200 W,,,con tapa,"24,2 cm",19 mm,"35,6 cm","1,73 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,,,,,,,,,,Windows 11 Professional,MicroSD,,16:10,,L3,,,,,,,6.0,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1459.79,4744.77,3102.28,,1280x720,,,200.0,24.2,19.0,35.6,1.73,,,,,,,,,,,,,,,,,,Laptop
Samsung Galaxy Book 4 Pro 16,43.0,Portátil multimedia,Samsung Galaxy Book,16.0,40.64,,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,4.0,,,76.0,65 W,,,con tapa,25 cm,13 mm,"35,5 cm","1,56 kg",,,,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,,,MicroSD,Dolby Atmos,16:10,Meteor Lake,L3,,,,,,,,,,,,,28 W,,64.0,,,,,,,,,táctil,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1349.0,3612.83,2480.91,,1920x1080,,,65.0,25.0,13.0,35.5,1.56,,,,,,,,4.0,,,28.0,,,,,,,Laptop
"Apple MacBook Pro 14"" M3 (2023)",75.0,Portátil multimedia,Apple MacBook Pro,14.2,36.068,,1.0,,,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,79 teclas,,6.0,polímero de litio,15 h,70.0,67 W,no,aluminio,con tapa,"22,1 cm",16 mm,"31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2023.0,IEEE 802.11ax,,,,,,,,,macOS Sonoma,SDXC,altavoces estéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1442.59,4906.98,3174.78,6016x3384,1920x1080,79.0,15.0,67.0,22.1,16.0,31.3,1.6,,,,,,,,,,,,,,,,,,Laptop
ASUS Zenbook S14 OLED UX5406,30.0,Ultrabook,ASUS Zenbook,14.0,35.56,,400.0,,,,,wifi,Bluetooth 5.4,2.0 Mpx,,1920 x 1080 píxeles,,,,,ión-litio,,72.0,,,aluminio,,,,,,,,,,,,,120 Hz,,,,,,,,,16:10,,,,,,,1.000 GB,,4.0,,,,,,,,64.0,"0,2 ms",,,,,,,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1477.99,3040.47,2259.23,,1920x1080,,,,,,,,,,120.0,,,,1000.0,,,,,,,,,,,Laptop
Medion Akoya E15301,17.0,Portátil multimedia,Medion Akoya,15.6,39.62,Full HD,,,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,8 h,45.0,,,,con tapa,24 cm,20 mm,"35,9 cm","1,87 kg","USB-C, webcam, lector de tarjetas",,,2020.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,,,1.0,,,,MicroSD,altavoces estéreo,16:9,,,,,,,,,2.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,258.9,584.18,421.54,,1280x720,,8.0,,24.0,20.0,35.9,1.87,1920x1080,,,,,,,,,,,,,,,,,Laptop
GigaByte Aorus 15 (2023),29.0,Portátil gaming,Gigabyte Aorus,15.6,39.62,,,,,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,99.0,240 W,,,con tapa,"27,2 cm",21 mm,36 cm,"2,25 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ax,,,,Intel,,,,8.192 MB,,,,16:9,,L3,,,,,,,,,,,,,,GDDR6,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,975.2,1828.63,1401.91,,1920x1080,,,240.0,27.2,21.0,36.0,2.25,,,,,,,,4.0,,,,,,,,,,Laptop
MSI Sword 16 HX B14V,33.0,Portátil gaming,MSI Sword,16.0,40.64,,,,,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,,,65.0,200 W,,,con tapa,"26,6 cm",27 mm,"35,9 cm","2,3 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, tapa webcam",,2024.0,IEEE 802.11ax,,,,Intel,,1.0,NVIDIA,,,,altavoces estéreo,16:10,,,,,DDR5,,,,4.0,,,,,,,GDDR6,,,,,,,,,,,Gigabit-LAN,,,,,,,,Intel HM770,"MSI App Player, MSI Center",,,,,,,,,,,,,,,,,Laptop,1249.95,2006.88,1628.41,8192x4608,,,,200.0,26.6,27.0,35.9,2.3,,,,,,,,4.0,,,,,,,,,,Laptop
"Lenovo V15 G2
82QY00PUSP",26.0,Portátil multimedia,,15.6,39.62,Full HD,250.0,Intel Celeron N4500,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,"5,5 h",38.0,,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","webcam, altavoces estéreo, USB-C",,,2021.0,,1.920 x 1.080 píxeles,,,Intel,Intel Celeron,1.0,Intel,memoria compartida,Free DOS,,altavoces estéreo,16:9,Jasper Lake,L3,4 MB,8 GB RAM,DDR4,3.200 MHz,256 GB,resistente a salpicaduras,,negro,,2.0,"1,1 GHz","2,8 GHz",6 W,,,,,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,237.36,400.17,318.76,,1280x720,,5.5,,23.6,20.0,35.9,1.7,1920x1080,,,4.0,8.0,3200.0,256.0,3.0,1.1,2.8,6.0,,,,,,,Laptop
HP Victus 16 2024,110.0,Portátil gaming,HP Victus,16.1,40.894,,,,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,,83.0,,,,con tapa,"25,9 cm",23 mm,"36,9 cm","2,33 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,,,,,,,NVIDIA,,,,,16:9,,L3,,,,,,,6.0,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,846.4,4560.7,2703.55,,,,,,25.9,23.0,36.9,2.33,,,,,,,,,,,,,,,,,,Laptop
"Samsung Galaxy Book 4
NP750XGJ-KG2ES",3.0,Portátil multimedia,Samsung Galaxy Book,15.6,39.624,Full HD,300.0,Intel Core i5-1335U,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,15 h,54.0,45 W,,,con tapa,"22,9 cm",15 mm,"35,7 cm","1,55 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,Dolby Atmos,16:9,Raptor Lake-U,L3,12 MB,16 GB RAM,LPDDR4X,,512 GB,,,gris,,10.0,"0,9 GHz","4,6 GHz",15 W,,64.0,,,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,599.0,997.99,798.5,,1280x720,,15.0,45.0,22.9,15.0,35.7,1.55,1920x1080,,,12.0,16.0,,512.0,4.0,0.9,4.6,15.0,,,,,,,Laptop
"Apple MacBook Pro 14"" M4 (2024)
Silver MW2W3Y/A",7.0,Portátil multimedia,Apple MacBook Pro,14.2,36.068,Retina,1.0,Apple M4,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79 teclas,,6.0,polímero de litio,13 h,70.0,67 W,no,aluminio,con tapa,"22,1 cm",16 mm,"31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,3.024 x 1.964 píxeles,254 ppp,120 Hz,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,SDXC,altavoces estéreo,,,,,16 GB RAM,,,512 GB,teclado iluminado,,plateado,,10.0,,,,,,,,Apple M4 Graphics,ninguna,ninguno,,,,,,,,,Apple Intelligence,,,,,,vidrio estándar,,,,,,,,,,,,,,,,Laptop,1731.44,2067.31,1899.38,8192x4608,1920x1080,79.0,13.0,67.0,22.1,16.0,31.3,1.6,3024x1964,254.0,120.0,,16.0,,512.0,,,,,,,,,,,Laptop
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ1041",19.0,Portátil profesional,ASUS Vivobook,15.6,39.624,Full HD,250.0,AMD Ryzen 5 7520U,SSD,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,,teclado numérico,,ión-litio,,50.0,65 W,,,con tapa,"23,25 cm",18 mm,"36,03 cm","1,63 kg","USB-C, altavoces estéreo, webcam",,,2023.0,,1.920 x 1.080 píxeles,,60 Hz,AMD,AMD Ryzen 5,1.0,AMD,memoria compartida,Free DOS,,SonicMaster,16:9,Mendocino,L3,4 MB,16 GB RAM,LPDDR5,,512 GB,,3.0,plateado,,4.0,"2,8 GHz","4,3 GHz",15 W,,,,,AMD Radeon 610M,,ninguno,19 V,"3,42 A",teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,396.52,539.17,467.84,,720x480,,,65.0,23.25,18.0,36.03,1.63,1920x1080,,60.0,4.0,16.0,,512.0,,2.8,4.3,15.0,,19.0,3.42,,,,Laptop
"GigaByte Aero 16 OLED BKF
BKF-73ES994SO",18.0,Portátil gaming,Gigabyte Aero,16.0,40.64,UHD+,600.0,Intel Core i7-13700H,,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,,88.0,240 W,,,con tapa,"25,5 cm",22 mm,"35,4 cm","1,9 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",reconocimiento de rostro,,2023.0,IEEE 802.11ax,3.840 x 2.400 píxeles,,60 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,MicroSD,,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR5,4.800 MHz,1.000 GB,teclado iluminado,,plateado,,14.0,"1,8 GHz",5 GHz,45 W,GDDR6,64.0,,64 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,,,,,,,,2x SO-DIMM,,,,,,,,,,,,,,,,,,,,,Laptop,1031.31,2069.99,1550.65,,1920x1080,,,240.0,25.5,22.0,35.4,1.9,3840x2400,,60.0,24.0,16.0,4800.0,1000.0,4.0,1.8,5.0,45.0,64.0,,,,,,Laptop
MSI Katana 15 B13,66.0,Portátil gaming,MSI Katana,15.6,39.62,,,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,,,53.5,200 W,,,con tapa,"25,9 cm",25 mm,"35,9 cm","2,25 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ax,,,,Intel,,,NVIDIA,,,,altavoces estéreo,16:9,Raptor Lake-H,L3,24 MB,,,,,,3.0,,,,,,45 W,GDDR6,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1094.82,2210.99,1652.9,,1280x720,,,200.0,25.9,25.0,35.9,2.25,,,,24.0,,,,4.0,,,45.0,,,,,,,Laptop
Lenovo V15 G3,178.0,Portátil multimedia,,15.6,39.62,,250.0,,,HDMI,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,,35.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","USB-C, webcam, lector de tarjetas",,,2022.0,IEEE 802.11ac,,,,,,,,,,,,16:9,,L3,,,,,,,2.0,,,,,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,330.0,1561.27,945.63,,,,,65.0,23.6,20.0,35.9,1.7,,,,,,,,,,,,,,,,,,Laptop
Samsung Galaxy Book 4 Pro 14,37.0,Portátil multimedia,Samsung Galaxy Book,14.0,35.56,,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,4.0,,,63.0,65 W,,,con tapa,"22,4 cm",12 mm,"31,2 cm","1,23 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,,,,,,,,,,MicroSD,Dolby Atmos,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1114.99,2308.34,1711.66,8192x4608,1920x1080,,,65.0,22.4,12.0,31.2,1.23,,,,,,,,4.0,,,,,,,,,,Laptop
"Apple MacBook Air 13"" 2024 M3
MXCV3Y/A",11.0,Portátil multimedia,Apple MacBook Air,13.6,34.544,Retina,500.0,Apple M3,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",4.0,polímero de litio,15 h,52.6,30 W,no,aluminio,con tapa,"21,5 cm",11 mm,"30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,,2.560 x 1.664 píxeles,,,,,1.0,,,macOS Sequoia,,,,,,,16 GB RAM,,,512 GB,teclado iluminado,,azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Core GPU,,,,,,,,,,,,,,,Laptop,1223.48,1486.99,1355.24,6016x3384,1920x1080,79.0,15.0,30.0,21.5,11.0,30.4,1.24,2560x1664,,,,16.0,,512.0,,,,,,,,,,,Laptop
ASUS ProArt P16 H7606,44.0,Portátil multimedia,ASUS ProArt,16.0,40.64,,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,90.0,200 W,,,con tapa,"24,7 cm",17 mm,"35,5 cm","1,85 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11be,,,,,,,,,,SD,,16:10,,,,,,,,,4.0,negro,,,,,,,,"0,2 ms",,,,,20 V,10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1896.12,4737.12,3316.62,,1920x1080,,,200.0,24.7,17.0,35.5,1.85,,,,,,,,,,,,,20.0,10.0,,,,Laptop
MSI Modern 15 B7M,23.0,Portátil profesional,MSI Modern,15.6,39.624,Full HD,,,,HDMI 2.1,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,,53.8,65 W,,,con tapa,"24,1 cm",20 mm,"35,9 cm","1,7 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,AMD,,1.0,,memoria compartida,,MicroSD,altavoces estéreo,16:9,Barcelo-R,L3,16 MB,,DDR4,,512 GB,,3.0,,,,2 GHz,"4,5 GHz",15 W,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,499.95,909.4,704.67,4096x2304,,,,65.0,24.1,20.0,35.9,1.7,1920x1080,,,16.0,,,512.0,4.0,2.0,4.5,15.0,,,,,,,Laptop
Lenovo IdeaPad 1 15,37.0,Portátil multimedia,Lenovo IdeaPad,15.6,39.62,,250.0,,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,1.0 Mpx,compatible con HD,1280 x 720 píxeles,,,,2.0,,"7,5 h",42.0,65 W,,,con tapa,"23,6 cm",18 mm,36 cm,"1,6 kg","USB-C, webcam, lector de tarjetas",,,2022.0,IEEE 802.11ax,,,,,,,,,,SD,altavoces estéreo,16:9,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,234.6,786.64,510.62,,1280x720,,7.5,65.0,23.6,18.0,36.0,1.6,,,,,,,,3.0,,,,,,,,,,Laptop
Samsung Galaxy Book 4 360,19.0,Portátil convertible,Samsung Galaxy Book,15.6,39.624,Full HD,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,68.0,65 W,,,convertible,"22,8 cm",14 mm,"35,5 cm","1,46 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,,,,Intel,,,Intel,memoria compartida,,MicroSD,,16:9,Raptor Lake-U Refresh,L3,12 MB,,,,,,,,,10.0,,,15 W,,64.0,,,,,,,,,panorámica,,,,,,,,,,,,,convertible,,,,,,,,,,,,,,Laptop,845.99,2167.39,1506.69,8192x4608,1920x1080,,,65.0,22.8,14.0,35.5,1.46,,,,12.0,,,,4.0,,,15.0,,,,,,,Laptop
"Apple MacBook Air 15"" 2024 M3
Space Gray MC9D4Y/A",12.0,Portátil multimedia,Apple MacBook Air,15.3,38.862,Retina,500.0,Apple M3,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",6.0,polímero de litio,15 h,66.5,35 W,no,aluminio,con tapa,"23,8 cm",12 mm,34 cm,"1,51 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,2.880 x 1.864 píxeles,224 ppp,,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,,,,,,,16 GB RAM,,,256 GB,teclado iluminado,,gris,,,,,,,,,,Apple M3 Graphics,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1270.42,1630.94,1450.68,6016x3384,1920x1080,79.0,15.0,35.0,23.8,12.0,34.0,1.51,2880x1864,224.0,,,16.0,,256.0,,,,,,,,,,,Laptop
ASUS TUF Gaming A14 FA401,28.0,Portátil gaming,ASUS TUF Gaming,14.0,35.56,,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,73.0,200 W,,,con tapa,"22,7 cm",20 mm,"31,1 cm","1,46 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,,,,AMD,,1.0,NVIDIA,,,MicroSD,,16:10,,L3,,,,,,,4.0,,,,,"5,1 GHz",,,,,,,,,20 V,10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1299.0,2736.62,2017.81,,1920x1080,,,200.0,22.7,20.0,31.1,1.46,,,,,,,,4.0,,5.1,,,20.0,10.0,,,,Laptop
Lenovo IdeaPad Slim 3 15 2024,62.0,Portátil multimedia,Lenovo IdeaPad,15.6,39.624,Full HD,250.0,Intel Core 3 100U,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,,47.0,65 W,,,con tapa,"23,5 cm",18 mm,"35,9 cm","1,62 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core 3,1.0,Intel,memoria compartida,Windows 11 Home,SD,altavoces estéreo,16:9,Raptor Lake-U Refresh,L3,10 MB,8 GB RAM,LPDDR5X,5.200 MHz,256 GB,,3.0,gris,,6.0,"0,9 GHz","4,7 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,499.0,1199.0,849.0,,1280x720,,,65.0,23.5,18.0,35.9,1.62,1920x1080,,60.0,10.0,8.0,5200.0,256.0,3.0,0.9,4.7,15.0,,,,,,,Laptop
Samsung Galaxy Book 4 Ultra,19.0,Portátil multimedia,Samsung Galaxy Book,16.0,40.64,,400.0,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,4.0,,,76.0,140 W,,,con tapa,25 cm,16 mm,35 cm,"1,86 kg",,,,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,,,MicroSD,Dolby Atmos,16:10,,L3,24 MB,,,,,,,,,16.0,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1778.96,4118.39,2948.68,8192x4608,1920x1080,,,140.0,25.0,16.0,35.0,1.86,,,,24.0,,,,4.0,,,,,,,,,,Laptop
"Apple MacBook Pro 16"" M4 (2024)",70.0,Portátil multimedia,Apple MacBook Pro,16.2,41.148,Retina,1.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79 teclas,,6.0,polímero de litio,14 h,100.0,140 W,no,aluminio,con tapa,"24,8 cm",17 mm,"35,6 cm","2,14 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,3.456 x 2.234 píxeles,254 ppp,120 Hz,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,SDXC,altavoces estéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2603.6,6068.06,4335.83,8192x4608,1920x1080,79.0,14.0,140.0,24.8,17.0,35.6,2.14,3456x2234,254.0,120.0,,,,,,,,,,,,,,,Laptop
